|  wavelength | species |     ep |      gf | comments
|  6703.567   |    26.0 |  2.759 |  -3.023 | M09/R09 -3.150 n -3.023m94_oxf -3.13_mrw_giri -3.01_mrw_lambert adopt-3.023
|  6705.102   |    26.0 |  4.607 |  -0.98  | M09/R09 Kur_lab mult1723-1.50 -0.98 norm using 4ev lines
|  6710.319   |    26.0 |  1.485 |  -4.88  | JM -4.88 VALD
|  6713.745   |    26.0 |  4.795 |  -1.40  | M09/R09 -1.4 Sun -1.50MRW, -1.45(MRW+0.05, Lambert)
|  6725.357   |    26.0 |  4.103 |  -2.19  | JM -2.30 VALD -2.096 Kurucz2003 -2.187 Sousa et al. 2008 (ARES_Sun) -2.186 Bruntt 2009 A&A 506, 235 (solar) ADOPT -2.19
|  6726.667   |    26.0 |  4.607 |  -1.03  | M09/R09 -1.03 Sun -1.14 Arct not in FW06 -1.17nist -1.19kurnorm
|  6733.151   |    26.0 |  4.638 |  -1.47  | JM  -1.58 VALD -1.452 Kurucz2003 -1.424 Bruntt 2009 A&A 506, 235 (solar) -1.429 Sousa et al. 2008 (ARES_Sun) -1.47 Trevisan et al. 2011, A&A 535, A42 (Sun) ADOPT -1.47
|  6739.522   |    26.0 |  1.557 |  -4.794 | ASPLUND
|  6750.152   |    26.0 |  2.424 |  -2.621 | ASPLUND [-2.620 n -2.608b91 -2.621oxford ADOPT OXFORD]
|  6752.71    |    26.0 |  4.64  |  -1.22  | R07
|  6793.259   |    26.0 |  4.076 |  -2.326 | ASPLUND
|  6806.845   |    26.0 |  2.727 |  -3.11  | JM -3.21 VALD -2.984 Kurucz2003 -3.124 Bruntt 2009 A&A 506, 235 (solar) -3.103 Sousa et al. 2008 (ARES_Sun) -3.15 Trevisan et al. 2011, A&A 535, A42 (Sun) ADOPT -3.11
|  6810.263   |    26.0 |  4.607 |  -0.986 | M09/R09 C+ Fuhr&Wiese06 (OBrian)
|  6828.59    |    26.0 |  4.64  |  -0.82  | R07
|  6837.006   |    26.0 |  4.593 |  -1.687 | ASPLUND
|  6839.830   |    26.0 |  2.559 |  -3.35  | JM FW2006[E]
|  6841.34    |    26.0 |  4.61  |  -0.71  | R07
|  6842.69    |    26.0 |  4.64  |  -1.22  | R07
|  6843.66    |    26.0 |  4.55  |  -0.83  | R07
|  6854.823   |    26.0 |  4.593 |  -1.926 | ASPLUND
|  6855.16    |    26.0 |  4.56  |  -0.74  | R07
|  6858.15    |    26.0 |  4.61  |  -0.94  | R07
|  6945.205   |    26.0 |  2.424 |  -2.454 | ASPLUND  telluric
|  6978.852   |    26.0 |  2.484 |  -2.479 | ASPLUND
|  6999.88    |    26.0 |  4.10  |  -1.46  | R07  telluric
|  7022.95    |    26.0 |  4.19  |  -1.15  | R07  telluric
|  7038.22    |    26.0 |  4.22  |  -1.20  | R07  telluric
|  7090.38    |    26.0 |  4.23  |  -1.11  | R07  good one!
|  7132.99    |    26.0 |  4.08  |  -1.65  | R07
|  7401.685   |    26.0 |  4.186 |  -1.500 | ASPLUND
|  7418.67    |    26.0 |  4.14  |  -1.38  | R07
|  7583.79    |    26.0 |  3.02  |  -1.88  | R07
|  7710.36    |    26.0 |  4.22  |  -1.11  | R07  telluric
|  7723.21    |    26.0 |  2.28  |  -3.62  | R07  blue blend
|  4491.40    |    26.1 |  2.856 |  -2.66  | Allende+02
|  4508.29    |    26.1 |  2.856 |  -2.52  | Allende+02
|  4520.224   |    26.1 |  2.8068|  -2.65  | JM b4F 4.5 z4F3.5  -2.610  1A OUT -2.59X-2.65
|  4576.333   |    26.1 |  2.844 |  -2.950 | ASPLUND
|  4620.513   |    26.1 |  2.828 |  -3.210 | ASPLUND
|  4629.34    |    26.1 |  2.81  |  -2.28  | R07 ***COULD NOT BE MEASURED IN SOLAR SPECTRA***
|  4993.34    |    26.1 |  2.81  |  -3.73  | Nissen11
|  5132.66    |    26.1 |  2.81  |  -4.17  | Nissen11
|  5197.577   |    26.1 |  3.231 |  -2.220 | M09/R09 -2.100  1A *** -2.17 a -2.22 *** 28jul04 Corrected EW, apr16,2005
|  5234.624   |    26.1 |  3.221 |  -2.180 | ASPLUND [a4G 3.5 z4F2.5  -2.052  1A]
|  5264.804   |    26.1 |  3.230 |  -3.130 | ASPLUND [a4G 2.5 z4D1.5  -3.188  1A -3.20x-3.13]
|  5284.10    |    26.1 |  2.89  |  -3.20  | Nissen11
|  5325.55    |    26.1 |  3.22  |  -3.25  | Nissen11
|  5414.072   |    26.1 |  3.221 |  -3.580 | ASPLUND [a4G 3.5 z4D3.5  -3.791  1A -3.65x-3.58]
|  5425.257   |    26.1 |  3.200 |  -3.220 | M09/R09 a4G 4.5 z4F4.5  -3.359  1A
|  5525.12    |    26.1 |  3.27  |  -3.94  | R07 weak and blended with Co I line
|  5534.84    |    26.1 |  3.24  |  -2.88  | Nissen11 blended with Fe I line
|  6084.09    |    26.1 |  3.20  |  -3.83  | Nissen11
|  6149.24    |    26.1 |  3.89  |  -2.75  | Nissen11
|  6238.38    |    26.1 |  3.89  |  -2.63  | Nissen11
|  6247.55    |    26.1 |  3.89  |  -2.38  | Nissen11 blend of two Fe II lines!
|  6369.462   |    26.1 |  2.891 |  -4.110 | M09/R09 a6S 2.5 z6D1.5  -4.358  1A -4.15x-4.11
|  6416.92    |    26.1 |  3.89  |  -2.75  | Nissen11
|  6432.676   |    26.1 |  2.891 |  -3.570 | ASPLUND [a6S 2.5 z6D2.5  -3.739  1A -3.61x-3.57]
|  6456.383   |    26.1 |  3.9036|  -2.05  | JM b4D 3.5 z4P2.5 S
|  6516.077   |    26.1 |  2.891 |  -3.310 | ASPLUND  telluric
|  7222.392   |    26.1 |  3.889 |  -3.260 | ASPLUND
|  7224.479   |    26.1 |  3.889 |  -3.200 | ASPLUND
|  7449.33    |    26.1 |  3.89  |  -3.27  | R07
|  7515.831   |    26.1 |  3.903 |  -3.390 | ASPLUND
|  7711.721   |    26.1 |  3.903 |  -2.500 | ASPLUND
